iter	Passed	Remaining
400	24251	36226
401	24313	36168
402	24374	36108
403	24435	36047
404	24495	35986
405	24554	35924
406	24614	35863
407	24678	35807
408	24739	35748
409	24800	35688
410	24859	35625
411	24920	35566
412	24982	35508
413	25043	35448
414	25105	35389
415	25163	35325
416	25226	35268
417	25285	35205
418	25343	35142
419	25402	35079
420	25462	35017
421	25522	34956
422	25581	34895
423	25643	34836
424	25702	34774
425	25761	34711
426	25821	34650
427	25881	34589
428	25942	34528
429	26003	34469
430	26065	34411
431	26124	34349
432	26185	34289
433	26247	34230
434	26306	34168
435	26367	34108
436	26426	34046
437	26486	33984
438	26549	33928
439	26610	33867
440	26670	33807
441	26731	33746
442	26791	33685
443	26851	33624
444	26913	33565
445	26976	33509
446	27036	33447
447	27095	33385
448	27156	33326
449	27217	33266
450	27276	33203
451	27333	33139
452	27395	33079
453	27456	33020
454	27516	32959
455	27576	32898
456	27639	32840
457	27702	32782
458	27762	32722
459	27822	32661
460	27882	32600
461	27942	32538
462	28006	32482
463	28065	32420
464	28128	32362
465	28189	32302
466	28252	32245
467	28310	32182
468	28371	32121
469	28429	32059
470	28491	31999
471	28554	31942
472	28618	31885
473	28679	31825
474	28739	31764
475	28799	31703
476	28861	31645
477	28923	31585
478	28980	31521
479	29041	31461
480	29102	31401
481	29162	31340
482	29224	31281
483	29284	31220
484	29346	31161
485	29404	31098
486	29465	31038
487	29524	30976
488	29585	30916
489	29648	30859
490	29711	30800
491	29771	30739
492	29831	30679
493	29891	30617
494	29952	30557
495	30014	30498
496	30072	30435
497	30131	30373
498	30190	30311
499	30249	30249
500	30310	30189
501	30370	30128
502	30428	30065
503	30489	30005
504	30550	29945
505	30608	29882
506	30670	29823
507	30731	29763
508	30792	29703
509	30853	29643
510	30912	29581
511	30972	29520
512	31031	29459
513	31090	29396
514	31149	29334
515	31211	29276
516	31271	29214
517	31329	29152
518	31389	29091
519	31451	29031
520	31512	28972
521	31573	28911
522	31636	28853
523	31701	28797
524	31761	28736
525	31822	28676
526	31883	28616
527	31943	28555
528	32004	28495
529	32065	28435
530	32128	28377
531	32190	28318
532	32253	28259
533	32312	28198
534	32373	28137
535	32432	28075
536	32492	28015
537	32554	27955
538	32614	27894
539	32676	27835
540	32734	27773
541	32794	27712
542	32854	27650
543	32915	27590
544	32975	27529
545	33037	27470
546	33097	27409
547	33155	27347
548	33218	27289
549	33280	27229
550	33339	27167
551	33400	27107
552	33458	27045
553	33519	26985
554	33580	26924
555	33640	26864
556	33705	26807
557	33766	26746
558	33828	26687
559	33889	26627
560	33950	26567
561	34011	26507
562	34071	26446
563	34132	26385
564	34192	26325
565	34254	26266
566	34313	26204
567	34372	26142
568	34432	26081
569	34492	26020
570	34552	25959
571	34610	25897
572	34672	25837
573	34733	25777
574	34793	25716
575	34851	25654
576	34911	25593
577	34974	25534
578	35038	25477
579	35101	25418
580	35161	25357
581	35223	25298
582	35288	25240
583	35347	25178
584	35403	25115
585	35464	25055
586	35527	24996
587	35587	24935
588	35646	24874
589	35709	24815
590	35769	24754
591	35830	24694
592	35892	24634
593	35951	24572
594	36012	24512
595	36072	24451
596	36135	24393
597	36198	24334
598	36260	24274
599	36320	24213
600	36383	24154
601	36443	24093
602	36505	24034
603	36566	23973
604	36627	23913
605	36687	23853
606	36751	23794
607	36811	23733
608	36874	23674
609	36935	23614
610	36996	23554
611	37059	23495
612	37121	23435
613	37181	23374
614	37245	23316
615	37308	23257
616	37369	23197
617	37431	23137
618	37491	23076
619	37553	23016
620	37613	22955
621	37674	22895
622	37739	22837
623	37801	22777
624	37861	22716
625	37923	22657
626	37984	22597
627	38045	22536
628	38106	22476
629	38166	22415
630	38228	22355
631	38290	22295
632	38353	22236
633	38416	22177
634	38476	22116
635	38539	22057
636	38601	21997
637	38665	21938
638	38725	21877
639	38787	21817
640	38847	21757
641	38907	21695
642	38969	21636
643	39030	21575
644	39092	21516
645	39153	21455
646	39213	21394
647	39275	21334
648	39336	21274
649	39394	21212
650	39455	21152
651	39517	21092
652	39577	21030
653	39638	20970
654	39699	20910
655	39762	20850
656	39825	20791
657	39886	20731
658	39948	20671
659	40009	20611
660	40071	20551
661	40132	20490
662	40194	20430
663	40255	20370
664	40317	20310
665	40379	20250
666	40439	20189
667	40499	20128
668	40561	20068
669	40621	20007
670	40683	19947
671	40744	19887
672	40806	19827
673	40868	19767
674	40928	19706
675	40990	19646
676	41053	19586
677	41116	19527
678	41179	19467
679	41239	19407
680	41301	19346
681	41365	19287
682	41427	19227
683	41487	19166
684	41549	19106
685	41611	19046
686	41671	18985
687	41734	18925
688	41794	18865
689	41856	18805
690	41916	18744
691	41976	18683
692	42036	18622
693	42096	18561
694	42161	18502
695	42222	18441
696	42284	18381
697	42346	18321
698	42412	18263
699	42476	18204
700	42547	18148
701	42607	18086
702	42668	18026
703	42727	17964
704	42786	17903
705	42846	17842
706	42907	17782
707	42970	17722
708	43031	17661
709	43093	17601
710	43155	17541
711	43217	17481
712	43277	17420
713	43338	17359
714	43401	17299
715	43461	17238
716	43523	17178
717	43587	17119
718	43649	17059
719	43711	16998
720	43775	16939
721	43834	16878
722	43896	16817
723	43958	16757
724	44021	16697
725	44083	16637
726	44145	16577
727	44207	16517
728	44271	16457
729	44336	16398
730	44397	16337
731	44460	16277
732	44524	16218
733	44586	16157
734	44650	16098
735	44710	16037
736	44771	15976
737	44832	15916
738	44893	15855
739	44954	15794
740	45021	15736
741	45083	15676
742	45145	15615
743	45208	15555
744	45267	15494
745	45329	15433
746	45391	15373
747	45452	15312
748	45511	15251
749	45572	15190
750	45633	15130
751	45694	15069
752	45760	15010
753	45820	14949
754	45882	14889
755	45944	14828
756	46003	14767
757	46065	14706
758	46126	14646
759	46187	14585
760	46247	14524
761	46306	14463
762	46368	14402
763	46427	14341
764	46487	14280
765	46547	14219
766	46609	14159
767	46671	14098
768	46732	14037
769	46791	13976
770	46849	13915
771	46907	13853
772	46966	13792
773	47023	13730
774	47080	13668
775	47138	13606
776	47195	13545
777	47250	13482
778	47308	13421
779	47365	13359
780	47422	13297
781	47479	13236
782	47537	13174
783	47595	13113
784	47654	13051
785	47713	12990
786	47770	12929
787	47827	12867
788	47884	12805
789	47942	12744
790	48000	12682
791	48058	12621
792	48116	12559
793	48175	12498
794	48231	12437
795	48289	12375
796	48346	12314
797	48403	12252
798	48464	12191
799	48521	12130
800	48579	12068
801	48635	12007
802	48696	11946
803	48756	11885
804	48819	11825
805	48879	11765
806	48939	11704
807	48998	11643
808	49058	11582
809	49119	11521
810	49178	11460
811	49238	11400
812	49299	11339
813	49361	11279
814	49422	11218
815	49481	11157
816	49541	11096
817	49606	11037
818	49666	10976
819	49727	10915
820	49790	10855
821	49848	10794
822	49907	10733
823	49965	10672
824	50025	10611
825	50085	10550
826	50144	10489
827	50204	10428
828	50265	10368
829	50327	10308
830	50389	10247
831	50450	10187
832	50510	10126
833	50570	10065
834	50632	10005
835	50692	9944
836	50752	9883
837	50811	9822
838	50872	9762
839	50932	9701
840	50994	9641
841	51053	9580
842	51112	9519
843	51171	9458
844	51230	9397
845	51291	9336
846	51352	9276
847	51410	9215
848	51471	9154
849	51529	9093
850	51589	9032
851	51650	8972
852	51710	8911
853	51770	8850
854	51832	8790
855	51891	8729
856	51949	8668
857	52010	8607
858	52071	8547
859	52132	8486
860	52196	8426
861	52256	8365
862	52315	8305
863	52373	8244
864	52432	8183
865	52494	8122
866	52556	8062
867	52614	8001
868	52672	7940
869	52731	7879
870	52791	7818
871	52851	7758
872	52911	7697
873	52969	7636
874	53028	7575
875	53091	7515
876	53150	7454
877	53212	7393
878	53273	7333
879	53333	7272
880	53391	7211
881	53451	7151
882	53512	7090
883	53573	7029
884	53636	6969
885	53696	6909
886	53757	6848
887	53819	6788
888	53882	6727
889	53943	6667
890	54001	6606
891	54062	6545
892	54122	6484
893	54182	6424
894	54243	6363
895	54304	6303
896	54364	6242
897	54425	6181
898	54482	6120
899	54541	6060
900	54604	5999
901	54665	5939
902	54728	5878
903	54788	5818
904	54850	5757
905	54911	5697
906	54973	5636
907	55032	5576
908	55091	5515
909	55150	5454
910	55209	5393
911	55269	5332
912	55328	5272
913	55389	5211
914	55450	5151
915	55513	5090
916	55572	5030
917	55634	4969
918	55695	4908
919	55751	4847
920	55811	4787
921	55872	4726
922	55931	4666
923	55992	4605
924	56050	4544
925	56112	4484
926	56172	4423
927	56232	4362
928	56293	4302
929	56358	4242
930	56417	4181
931	56478	4120
932	56536	4059
933	56594	3999
934	56655	3938
935	56714	3877
936	56774	3817
937	56836	3756
938	56896	3696
939	56958	3635
940	57019	3575
941	57077	3514
942	57139	3453
943	57202	3393
944	57263	3332
945	57325	3272
946	57387	3211
947	57448	3151
948	57508	3090
949	57571	3030
950	57629	2969
951	57692	2908
952	57751	2848
953	57812	2787
954	57876	2727
955	57937	2666
956	57996	2605
957	58055	2545
958	58113	2484
959	58172	2423
960	58233	2363
961	58293	2302
962	58350	2241
963	58411	2181
964	58471	2120
965	58530	2060
966	58588	1999
967	58652	1938
968	58715	1878
969	58776	1817
970	58838	1757
971	58901	1696
972	58963	1636
973	59026	1575
974	59086	1515
975	59147	1454
976	59210	1393
977	59271	1333
978	59332	1272
979	59394	1212
980	59455	1151
981	59517	1090
982	59577	1030
983	59638	969
984	59701	909
985	59761	848
986	59824	787
987	59888	727
988	59951	666
989	60015	606
990	60075	545
991	60137	484
992	60197	424
993	60259	363
994	60320	303
995	60382	242
996	60442	181
997	60506	121
998	60567	60
999	60630	0
