iter	Logloss
0	0.5742703827
1	0.4751594869
2	0.3897343346
3	0.3216643621
4	0.26261657
5	0.2180784833
6	0.1827408524
7	0.1517723578
8	0.1265751597
9	0.1062094214
10	0.08912361495
11	0.07455180867
12	0.06315963048
13	0.05335590329
14	0.04453383864
15	0.03757895186
16	0.0321535079
17	0.02721323219
18	0.02332717519
19	0.01995654439
20	0.01732026915
21	0.0150005273
22	0.01274043229
23	0.01107175844
24	0.009574643095
25	0.008447393087
26	0.007431291283
27	0.006662100254
28	0.00575281082
29	0.005089295704
30	0.004581103354
31	0.004131644765
32	0.003741722997
33	0.003399106105
34	0.003028496992
35	0.002723773203
36	0.002448710487
37	0.002221651839
38	0.00204009517
39	0.00186638361
40	0.001714023351
41	0.001570413002
42	0.001443366525
43	0.001333264302
44	0.001231181135
45	0.001138206496
46	0.001056129011
47	0.0009854612534
48	0.0009205765016
49	0.0008618875346
50	0.0008081282445
51	0.0007595007453
52	0.0007126943516
53	0.0006696114318
54	0.0006329411639
55	0.0006021883544
56	0.000572485316
57	0.0005444973375
58	0.0005184825992
59	0.0004936971115
60	0.0004712870032
61	0.0004504158399
62	0.0004303143055
63	0.0004084411107
64	0.0003910227168
65	0.0003746756198
66	0.0003582010144
67	0.0003446729971
68	0.000329944885
69	0.0003178374424
70	0.0003048402888
71	0.0002928391817
72	0.0002815744503
73	0.000270997923
74	0.0002607224808
75	0.0002511724077
76	0.0002422849132
77	0.0002362209798
78	0.0002298525596
79	0.0002246578138
80	0.0002198448702
81	0.0002151573708
82	0.0002107016712
83	0.0002063686156
84	0.0002022015909
85	0.0001980730723
86	0.000194206222
87	0.0001904214131
88	0.0001867612576
89	0.0001831655241
90	0.0001797735239
91	0.0001764789333
92	0.000173291349
93	0.0001702238984
94	0.0001672162461
95	0.0001642948474
96	0.0001614913189
97	0.0001587605551
98	0.0001567832632
99	0.0001548942667
100	0.0001530453272
101	0.0001512764319
102	0.0001495323273
103	0.0001478109583
104	0.0001461187308
105	0.0001444823451
106	0.0001428745267
107	0.0001412968986
108	0.0001397174853
109	0.0001382091941
110	0.0001367194633
111	0.000135231207
112	0.000133807786
113	0.0001324006059
114	0.0001306417176
115	0.0001293115544
116	0.0001280032003
117	0.0001267303899
118	0.0001254800569
119	0.0001242264174
120	0.0001230047045
121	0.0001218035939
122	0.0001206302323
123	0.0001190822745
124	0.0001179407699
125	0.0001164764043
126	0.0001150526413
127	0.0001144797202
128	0.0001139182443
129	0.0001124484967
130	0.0001119091655
131	0.0001113696203
132	0.0001108374854
133	0.0001103019809
134	0.0001097822283
135	0.000109093784
136	0.0001085636061
137	0.0001080535854
138	0.0001073773534
139	0.0001067007538
140	0.0001062151469
141	0.000105723531
142	0.0001050538108
143	0.000104418913
144	0.0001039598097
145	0.0001034924164
146	0.0001030372414
147	0.0001024158866
148	0.0001019710337
149	0.0001015127697
150	0.0001010657153
151	0.0001006212805
152	9.99973603e-05
153	9.955165044e-05
154	9.894388894e-05
155	9.850999881e-05
156	9.808181594e-05
157	9.765131402e-05
158	9.724345436e-05
159	9.682358976e-05
160	9.641073659e-05
161	9.600013942e-05
162	9.557916349e-05
163	9.557916349e-05
164	9.51723997e-05
165	9.477949378e-05
166	9.477949378e-05
167	9.477688715e-05
168	9.477688715e-05
169	9.477688715e-05
170	9.477688715e-05
171	9.477688715e-05
172	9.477688715e-05
173	9.477688715e-05
174	9.477688715e-05
175	9.477864475e-05
176	9.477434573e-05
177	9.477434573e-05
178	9.477434573e-05
179	9.477434573e-05
180	9.477434573e-05
181	9.477434573e-05
182	9.477434573e-05
183	9.477434573e-05
184	9.477434573e-05
185	9.477434573e-05
186	9.477684336e-05
187	9.477143131e-05
188	9.477143131e-05
189	9.476737362e-05
190	9.476737362e-05
191	9.477094143e-05
192	9.477094143e-05
193	9.477220958e-05
194	9.477220958e-05
195	9.477220958e-05
196	9.477220958e-05
197	9.477103953e-05
198	9.477103953e-05
199	9.437391856e-05
200	9.437391856e-05
201	9.437391856e-05
202	9.437391856e-05
203	9.437994272e-05
204	9.437994272e-05
205	9.437994272e-05
206	9.437994272e-05
207	9.437994272e-05
208	9.437994272e-05
209	9.437994272e-05
210	9.437994272e-05
211	9.436986464e-05
212	9.436986464e-05
213	9.436986464e-05
214	9.436986464e-05
215	9.436986464e-05
216	9.436986464e-05
217	9.437412869e-05
218	9.437412869e-05
219	9.437412869e-05
220	9.437412869e-05
221	9.437412869e-05
222	9.437412869e-05
223	9.437412869e-05
224	9.437326013e-05
225	9.437326013e-05
226	9.437196028e-05
227	9.437196028e-05
228	9.437482776e-05
229	9.437482776e-05
230	9.437406663e-05
231	9.437406663e-05
232	9.437406663e-05
233	9.437406663e-05
234	9.437406663e-05
235	9.437406663e-05
236	9.437406663e-05
237	9.437406663e-05
238	9.437406663e-05
239	9.437406663e-05
240	9.43726184e-05
241	9.43726184e-05
242	9.43726184e-05
243	9.43726184e-05
244	9.43726184e-05
245	9.43726184e-05
246	9.43726184e-05
247	9.43726184e-05
248	9.43726184e-05
249	9.437066831e-05
250	9.437066831e-05
251	9.43699308e-05
252	9.436644081e-05
253	9.436644081e-05
254	9.436644081e-05
255	9.436644081e-05
256	9.436644081e-05
257	9.436890315e-05
258	9.436890315e-05
259	9.436890315e-05
260	9.436890315e-05
261	9.436890315e-05
262	9.436890315e-05
263	9.436357049e-05
264	9.436357049e-05
265	9.436357049e-05
266	9.436357049e-05
267	9.436801568e-05
268	9.436304847e-05
269	9.436304847e-05
270	9.436171365e-05
271	9.436171365e-05
272	9.436171365e-05
273	9.436171365e-05
274	9.436171365e-05
275	9.436171365e-05
276	9.436171365e-05
277	9.436171365e-05
278	9.436171365e-05
279	9.436171365e-05
280	9.436171365e-05
281	9.436171365e-05
282	9.436171365e-05
283	9.385885895e-05
284	9.385885895e-05
285	9.385885895e-05
286	9.385541054e-05
287	9.385541054e-05
288	9.385541054e-05
289	9.385890274e-05
290	9.385890274e-05
291	9.385366995e-05
292	9.385366995e-05
293	9.385553624e-05
294	9.385553624e-05
295	9.385553624e-05
296	9.385553624e-05
297	9.385553624e-05
298	9.385553624e-05
299	9.385553624e-05
300	9.385553624e-05
301	9.385356567e-05
302	9.385356567e-05
303	9.385357701e-05
304	9.385357701e-05
305	9.385357701e-05
306	9.385357701e-05
307	9.385357701e-05
308	9.385357701e-05
309	9.385357701e-05
310	9.385357701e-05
311	9.385357701e-05
312	9.385357701e-05
313	9.385357701e-05
314	9.385357701e-05
315	9.385357701e-05
316	9.385357701e-05
317	9.385357701e-05
318	9.385357701e-05
319	9.385357701e-05
320	9.385357701e-05
321	9.385357701e-05
322	9.385357701e-05
323	9.257411976e-05
324	9.257411976e-05
325	9.257411976e-05
326	9.257411976e-05
327	9.257411976e-05
328	9.257411976e-05
329	9.257411976e-05
330	9.257411976e-05
331	9.257411976e-05
332	9.257411976e-05
333	9.257411976e-05
334	9.257411976e-05
335	9.257773262e-05
336	9.257773262e-05
337	9.257773262e-05
338	9.257581561e-05
339	9.257157992e-05
340	9.257255843e-05
341	9.257255843e-05
342	9.257255843e-05
343	9.257255843e-05
344	9.257255843e-05
345	9.257255843e-05
346	9.257255843e-05
347	9.257255843e-05
348	9.257255843e-05
349	9.257255843e-05
350	9.257255843e-05
351	9.256968402e-05
352	9.256968402e-05
353	9.256968402e-05
354	9.257159882e-05
355	9.257159882e-05
356	9.257159882e-05
357	9.257159882e-05
358	9.257159882e-05
359	9.256785176e-05
360	9.256392575e-05
361	9.256392575e-05
362	9.256392575e-05
363	9.256392575e-05
364	9.256392575e-05
365	9.256392575e-05
366	9.256392575e-05
367	9.256392575e-05
